iter	RMSE
0	1.245209661
1	1.233351373
2	1.22178465
3	1.211670169
4	1.201446003
5	1.191698667
6	1.182598691
7	1.173597124
8	1.167327986
9	1.160021784
10	1.1532956
11	1.146806767
12	1.140616948
13	1.135746692
14	1.130852807
15	1.126263774
16	1.122881899
17	1.118996462
18	1.115474117
19	1.11360167
20	1.10973247
21	1.106736174
22	1.103692587
23	1.101409714
24	1.09927435
25	1.097288244
26	1.095212554
27	1.093137898
28	1.091016284
29	1.088628638
30	1.087047193
31	1.085276181
32	1.082040594
33	1.080748602
34	1.078849723
35	1.077613666
36	1.076069497
37	1.074984004
38	1.073941576
39	1.072715923
40	1.07157454
41	1.070786945
42	1.070122814
43	1.069003526
44	1.068619259
45	1.067709734
46	1.067226086
47	1.065754558
48	1.06479928
49	1.063287866
50	1.062691551
51	1.062125321
52	1.06155939
53	1.060494635
54	1.060022361
55	1.05916391
56	1.058605065
57	1.057634941
58	1.057026591
59	1.056061914
60	1.05497287
61	1.054480565
62	1.054158627
63	1.053688401
64	1.053111665
65	1.052899431
66	1.051924168
67	1.051745087
68	1.051211171
69	1.051032404
70	1.050477147
71	1.049927265
72	1.049704806
73	1.049471117
74	1.049228538
75	1.048995862
76	1.048189175
77	1.047999807
78	1.047057132
79	1.046498434
80	1.045835457
81	1.045585959
82	1.045492195
83	1.045020442
84	1.044429827
85	1.044221667
86	1.044065514
87	1.043704073
88	1.043343305
89	1.043242437
90	1.042474481
91	1.042074125
92	1.041637319
93	1.041099358
94	1.040505837
95	1.039884815
96	1.039702499
97	1.0392045
98	1.038674712
99	1.038238325
100	1.037961645
101	1.036758553
102	1.036582886
103	1.036343911
104	1.036212575
105	1.035895806
106	1.035637372
107	1.035156759
108	1.034818131
109	1.034570858
110	1.034168361
111	1.034125985
112	1.034001047
113	1.033355488
114	1.032623035
115	1.032228126
116	1.03210548
117	1.032035171
118	1.031580585
119	1.031211607
120	1.030998379
121	1.030796951
122	1.030676888
123	1.030453831
124	1.030086756
125	1.029415232
126	1.029070004
127	1.028405567
128	1.028339291
129	1.027976063
130	1.027743573
131	1.027678537
132	1.027600885
133	1.027457716
134	1.027437439
135	1.027397212
136	1.027300967
137	1.026769705
138	1.026527797
139	1.026347777
140	1.025723503
141	1.025105553
142	1.024349036
143	1.023945982
144	1.023668651
145	1.023319832
146	1.023079623
147	1.022602152
148	1.022480077
149	1.022073718
150	1.02202886
151	1.021583348
152	1.021522035
153	1.021376492
154	1.020249037
155	1.019877384
156	1.01975782
157	1.019517945
158	1.019258436
159	1.019035528
160	1.018939835
161	1.018200692
162	1.017796913
163	1.017333674
164	1.017120951
165	1.016756562
166	1.016663294
167	1.016325127
168	1.016073231
169	1.015905609
170	1.015537107
171	1.015069217
172	1.015028479
173	1.014509198
174	1.014360305
175	1.014267833
176	1.014138567
177	1.014092956
178	1.014092872
179	1.013284448
180	1.012868445
181	1.012868379
182	1.012281021
183	1.0120446
184	1.011553299
185	1.011320247
186	1.01063239
187	1.010531332
188	1.01027203
189	1.009851596
190	1.009045305
191	1.008897267
192	1.008851059
193	1.008380281
194	1.008058831
195	1.007720559
196	1.007072008
197	1.00698625
198	1.006511543
199	1.006371209
200	1.00568774
201	1.005385271
202	1.004945859
203	1.004879945
204	1.004515272
205	1.004433007
206	1.004145354
207	1.003710798
208	1.00316076
209	1.002613556
210	1.00253476
211	1.002082919
