feature,importance
event_cause,9.337778846275999
latitude,8.613149301639332
h3_cell,8.139915546408032
h3_avg_impact,7.373929807073479
longitude,6.944864427401091
hotspot_rank,6.225228655500158
hour,6.1961369827186275
hotspot_score,6.082526439497363
veh_type,4.9031316441320145
corridor,3.9803337623785473
address,3.6297498225102496
corridor_cause_count,3.4070531793285905
h3_event_count,3.102756541309334
month,2.4340090045129488
junction,2.307520305406083
corridor_event_count,2.134447730290655
junction_avg_impact,1.5169426946084854
corridor_avg_impact,1.226120996226831
is_weekend,1.2143388157734663
junction_event_count,1.1526112267561808
priority,1.075121483721023
event_cause_event_count,1.0266317992269933
hotspot_level,0.9627877637538418
desc_has_jam,0.7865967868435609
is_evening_peak,0.7739134669549447
is_morning_peak,0.7727703536438255
reason_breakdown,0.7668868209965671
cargo_material,0.7665665337988286
is_planned_event,0.6555847274679336
is_unplanned_event,0.6195554892763153
desc_has_breakdown,0.576822888447103
event_type,0.4760839756756987
priority_num,0.23606582134472467
is_heavy_vehicle,0.14991444901530435
desc_has_accident,0.12785895783628368
is_h3_hotspot,0.07912936078546967
is_commercial_vehicle,0.06712234482943927
is_night,0.06022903478264944
desc_has_waterlogging,0.05884122919943146
is_peak_hour,0.0203178545611493
desc_has_truck,0.012615088753998175
desc_has_blocked,0.0034877903381203917
desc_has_construction,0.0025502489993488395
desc_has_overturned,0.0
desc_has_event,0.0
desc_has_treefall,0.0
has_start_location,0.0
