feature,importance
event_cause,20.380204201814866
veh_type,8.228365747782831
hotspot_level,5.587204276771758
h3_event_count,5.495156379955561
hour,5.201440783216525
corridor,5.120632789345093
event_cause_event_count,5.096810186148989
h3_avg_impact,4.586443820132663
corridor_cause_count,4.488731389492359
hotspot_score,4.16288125980256
hotspot_rank,3.791689365287855
latitude,3.5797117210186453
h3_cell,2.9567488155714488
longitude,2.2238536429768585
junction_event_count,1.7831411845855936
route_path,1.7552637002295453
junction,1.413006126551139
month,1.2761815383833435
address,1.2581736853848566
corridor_event_count,1.2441299990548362
is_h3_hotspot,1.1412684337365346
corridor_avg_impact,1.0704297173052948
is_night,1.0390311890029573
cargo_material,0.9568240695223118
junction_avg_impact,0.9366363457904641
reason_breakdown,0.7766986083171393
is_morning_peak,0.6483844785816653
is_unplanned_event,0.6411251214694634
desc_has_accident,0.620180804815462
is_planned_event,0.6094271056825469
event_type,0.5670222915801814
is_weekend,0.48247803397515154
is_evening_peak,0.2968292287537893
desc_has_event,0.1695810088475271
is_peak_hour,0.16225059362780309
desc_has_construction,0.11367425810715878
priority_num,0.049257788814309235
desc_has_waterlogging,0.030055892300208515
priority,0.01954915572012849
desc_has_jam,0.016667569718814192
is_heavy_vehicle,0.015849777512366464
desc_has_truck,0.0036998350487151676
is_commercial_vehicle,0.0033080782626497183
has_start_location,0.0
desc_has_blocked,0.0
desc_has_breakdown,0.0
desc_has_overturned,0.0
desc_has_treefall,0.0
